吖 吩吟
菖 蒈蓍若营暮昔苫茵苗菩苜蓄著蔷菌菪莒蕾蓉茗茴耆蕃苕者苦苔茜薯瞢
菪 蒈蓍若营暮昔苫茵苗菖菩苜蓄著蔷菌莒蕾蓉茗茴耆蕃苕者苦苔茜薯瞢
茴 蒈蓍若营腊堵鹊猫昔煮狠苫错赌都借茵苗菖菩苜惜储措蓄猪著署菌蜡狼躇菪诸莒猎绪蓉茗描耆暑睹瞄苕者苦苔茜
莒 蒈蓍若营腊堵鹊猫昔煮狠苫错赌都借茵苗菖菩苜惜储措蓄猪著署菌蜡狼躇菪诸猎绪蓉茗茴描耆暑睹瞄苕者苦苔茜
菌 蒈蓍若营暮昔苫茵苗菖菩苜蓄著蔷菪莒蕾蓉茗茴耆蕃苕者苦苔茜薯瞢
蒈 蓍蓦营暮摹慕幕茵墓菖菩蓄著蔷菌菪莒蕾蓉茗茴耆蕃茜薯瞢
茗 蒈蓍若营腊堵铅鹊猫昔煮狠铬苫错赌都借酩茵苗菖菩苜惜铭措蓄猪著储署菌蜡狼躇菪诸莒猎绪蓉茴名描耆暑锍瞄睹苕者锯苦苔茜
菩 蒈蓍若营暮昔苫茵苗菖苜蓄著蔷菌菪莒蕾蓉茗茴耆蕃苕者苦苔茜薯瞢
耆 蒈蓍若营暮昔苫茵苗菖菩苜蓄著蔷菌菪莒蓉茗茴苕者苦苔茜
茜 蒈蓍若营腊堵鹊猫昔煮狠苫错赌都借茵苗菖菩苜惜储措蓄猪著署菌蜡狼躇菪诸莒猎绪蓉茗茴描耆暑睹瞄苕者苦苔
蓉 融蒈蓍蓦窘溶营暮窗摹富熔害慕宫幕瞽茵墓菖菩蓄著蔷菌菪客榕莒蕾茗窖茴耆容蕃茜薯瞢
蓍 蒈蓦营暮摹慕幕瞽茵墓菖菩蓄著蔷菌菪莒蕾蓉茗茴耆蕃茜薯瞢
蓄 蒈蓍蓦营暮摹慕幕瞽茵墓菖菩著蔷菌菪莒蕾蓉茗茴耆蕃茜薯瞢
茵 蒈蓍若营腊堵鹊猫昔煮狠苫错赌都借苗菖菩苜惜储措蓄猪著署菌蜡狼躇菪诸莒猎绪蓉茗茴描耆暑睹瞄苕者苦苔茜
营 蒈蓍若暮昔苫茵苗菖菩苜蓄著蔷菌菪莒蕾蓉茗茴耆蕃苕者苦苔茜薯瞢
著 蒈蓍若理营堵里暮埋昔苫狸落赌茵苗菖菩苜蓄蔷童菌塔菪莒呈蕾蓉茗茴耆暑国睹蕃苕者苦苔茜薯瞢
猖 帽
帽 猖
阊 酱闾阁阃阍咨
阁 酱闾阊阃阍咨
阍 酱闾阁阊阃咨
酱 烫闾桨奖阁阊阃阂浆冥阍咨资
阃 酱闾阁阊阍咨
闾 酱阁阊阃阍咨
咨 阒酱奖闾烫次阁阊阃阂姿羡冥阍阕资
苌 芸
芸 耘云动苌运
肠 扬朋鹏邦网周用雕杨凋罔朐绸局抑扔同鸦汤骨邪调韧阴棚抒扪惆场碉稠
局 朋鹏肠网周用雕凋罔朐绸同鸦骨邪调阴棚惆碉稠
朋 胸猾鹏脚肠网周雕凋滑罔冈朐屑绸局胴育陶月同鸦骨脊邪调背阴棚肓惆屙膊脯碉稠
同 拥甩局邪朋阴肠网周用佣罔
网 拥甩局邪朋阴肠周用佣罔同
罔 朋胸猾鹏脚肠网周雕凋滑朐屑绸局胴陶同鸦骨邪调阴棚惆屙碉稠
邪 拥甩局朋阴肠网周用佣罔同
阴 拥甩局邪朋肠网周用佣罔同
周 朋胸猾鹏脚肠网雕凋滑罔朐屑绸局胴陶同鸦骨邪调阴棚惆屙碉稠
徜 倘俏
俏 徜倘
倘 肖尚趟徜券躺俏淌
场 惕扬构杓邦肠杩杨赐抑踢扔坞汤杼韧抒扪驽均
均 垌垧驽场乌钓匀约勾沟趵钧的勺灼坞钩
坞 垌垧驽场均
惝 悄
悄 硝霄肖惝消梢捎稍券尚哨销
畅 扬邦哪捅掏拥抑掷挪韧娜抒捣那扪掬揶拘
拘 扬畅邦哪捅掏拥抑掷挪韧娜抒捣那扪掬揶
挪 畅搁哪捅淘掏萄拥搠抑搦陶掷韧娜抒捣那掬揶拘
拥 甩扬畅俑邦用网哪邴捅桶掏通帚抑诵同掷挪邪韧阴娜抒捣那扪掬甬揶痛佣拘涌
鬯 邕
邕 鬯
怊 恪
恪 怊眉屠络烙落胳骼咯格
超 陡走灰起趋趑越趟卖徒趄趣
起 陡走灰趋趑越趟超卖徒趄趣
趄 径咀租徂沮诅起趋趑佩狙俎超龃趣
趋 陡走灰起趑越趟超卖徒趄趣
趑 起趋超趄趣
剿 祟柴踪粜剩盆梨岔综崇犁紫巢
潮 溯朝嘲鹁湖鸿漏瀚溺淘滑婿澜娴
嘲 啕朝鹁啁眵啷瞩瀚嗍婿嘱嘟娴潮
瀚 瀹朝嘲鹁婿娴潮
嘟 响唧啕哟嘲啁眵哆啷瞩嗍哪嘱晌
嗍 响唧啕哟嘲啁眵哆啷瞩哪嘱嘟晌
嘱 啕嘲啁眵啷瞩嗍嘟
瞩 嘲嗍嘱嘟
澜 溯桨湖鸿阑漏斓溺浆滑淘粢潮
漏 葫溯湖瑚润蝴鸿糊凋溺淘滑涌澜涧潮
溺 瑚凋淘滑溯漏洞葫湖润蝴鸿糊澜涧潮洵涌
溯 瑚凋淘滑漏洞溺葫湖润蝴鸿糊澜涧潮洵涌
扯 止扛址上企芜拒抠扼拴让栓肯抚
扼 扛扯芜拒抠拴栓抚
抚 扛扯芜拒抠扼拴栓
拒 匹拴杠扛扯杌枢距柜趾柩区扼栓矩抠巨炬芜枉抚
扛 扯芜拒抠扼拴栓抚
抠 匹拴呕扛躯怄扯枢伛欧妪拒区扼殴栓讴巨岖沤芜驱鸥抚
彻 徇俑肾仞佝侈响抑们角砌向仰迎昂伺切沏侗匍修佣晌
侈 徇俑移哆肾佝倜鸬鸺伊角砌躬向彻仰伺切沏够侗匍修多豹佣
侗 徇俑肾佝侈倜鸬鸺角砌躬向彻仰伺切沏匍修豹佣
佝 徇俑肾仞侈响抑们角砌向彻仰迎昂伺切沏侗匍修佣晌
角 徇俑肾仞佝侈响抑们砌向彻仰迎昂伺切沏侗匍修佣晌
肾 徇俑佝侈倜鸬鸺角砌躬向彻仰伺切沏侗匍修豹佣
伺 徇俑肾仞佝侈响抑们角砌向彻仰迎昂切沏侗匍修佣晌
向 肾仞佝侈响抑们角砌彻仰迎昂伺切沏侗佣晌
仰 肾仞佝侈响抑们角砌向彻迎昂伺切沏侗佣晌
佣 甩徇俑肾仞佝用邴桶捅网侈通响拥帚抑诵们角砌同向彻邪仰迎昂阴伺切沏侗匍修甬痛涌晌
砌 砀硐肾佝郡侈矽邵酮角硼向彻酌仰码伺切沏侗碉确佣
沏 泖肾佝侈沟写洞角砌钩向汤彻冯仰钓伺钧切邺侗泻汐闯洵佣
切 向沏彻侗仰肾伺佝角砌侈佣
埏 坼埒坻坂
掣 犁擎
犁 祟柴粜剩盆糸利掣梨岔岽俐崇擎剿紫巢
擎 儆敬掣警犁
撤 撖籍擞澉激澈撒撙擀潋霜辙撇
擀 撖籍擞撤撒撙霜撇
撖 籍擞撤撒撙擀霜撇
撒 撖籍擞撤撙擀霜撇
擞 撖籍撤撒撙擀霜撇
撙 撖籍擞撤撒擀霜撇
籍 撖擞误撤娱撒撙擀藉霜撇
霜 雷雹撙雨霆雪甭撒擀两撇霎擞架相柏湘丽撖籍枷撤雾箱
澈 澉撤游潋辙激
澉 撤澈游潋辙激
激 澉缴邀鳆撤澈游潋辙
潋 澉撤澈游辙激
辙 澉撤澈潋激
抻 拽
拽 抻
嗔 喷
臣 闶匠叵匦医匣匝瓯匡
匠 闶叵匦医匣匝瓯匡臣
闶 既匠叵匦医匣匝瓯匡臣
匡 闶匠叵匦医匣匝瓯臣
叵 闶匠医匣匝匡臣
匣 闶既匠叵匦医匝瓯匡臣
医 闶既匠叵匦匣匝瓯匡臣
匝 闶匠叵医匣匡臣
沉 泡沮讯炮跑抱饱汛迅泥泾洫汜
泾 徂泡沮沉绝经径渔淝纽汜泥劲汛洫组涩炮佩跑抱浼饱茎
沮 徂泡沉狙龃趄径租渔淝泾汜诅泥汛洫咀涩炮佩俎跑抱浼饱
泥 渔泡沮沉涩炮跑抱饱汛浼淝泾洫汜
汜 泡沮沉讯迅汛泥泾
汛 讽记泡沮沉讯迅泥泾汜
宸 稼家嫁
家 稼嫁宸
谌 幼幻谨谎勤
谎 慌苑谌荏菀莅谨勤茬流荛幼荒莞梵幻茌莸茺萑
谨 蓥耋谌莹基董莶封勤蓝墓萱荃堇埘幼谎幻
榇 椋森
椋 榇森
森 椋榇
柽 枧杞桅杷枫
枫 讽枧飒风杞柽见飘飚机凤桅杷疯
枧 杞柽机桅杷枫
杷 枧杞柽机桅枫
桅 诡枧凫危柽脆跪杷枫
蛏 蚬蛆
蛆 蚬蛏
蚬 蛏蛆
成 戎戌城盛戍戊诚
戍 戎戌城盛戊成诚
戊 戎戌城盛戍成诚
戌 戎城盛戍戊成诚
城 戌盛戍戊成诚域
诚 戌城盛戍戊成诫
盛 戌城盏戍戊成诚
呈 昱理狸国暑里童著星埋固显
国 昱理狸暑里童著星湿埋固罡显呈
里 昱理狸国暑童著星埋固显呈
诫 诚
域 城
埕 埋理
埋 理狸国暑童著里埕呈
乘 集乖剩统黍
集 黍乘
黍 乘集
铖 钱锇钺
锇 钱铖钺
钱 笺坌盆溅栈锇差饯戥线佥金贱浅残铖键践铜链针钺
钺 钱铖锇
惩 亚玉丕证政歪症亘正至愆焉征
愆 惩征
征 丕政亘至虑玉证躯虔亚俳虚徘偃愆焉虎虐惩侄歪症正
裎 袒祝
袒 裎怛祝妲
酲 醒醌
醌 酲醒
醒 酲醌
橙 登蹬橇瞪噔澄凳
橇 登橙澄凳
澄 登橙蹬橇瞪噔凳
凳 登橙蹬橇瞪噔澄
登 橙蹬橇瞪噔澄凳
逞 遏遢遑遇逻
遏 偈暹褐揭遢遑逞遇喝昂渴竭碣逻昴罚曷
遑 暹遏遢逞遇逻
逻 暹箩遏遢遑逞遇萝锣罗
遇 偈暹遏遢遑逞寓隅藕偶逻
吃 呛咋
哧 哒哝
哒 哧哝
哝 哧哒
鸱 鸥卿郾
鸥 匹卿呕鸱躯怄郾枢伛欧妪区殴抠讴巨岖沤驱
卿 鸥郾鸱
郾 鸥卿鸱
眵 响唧啕鸣哟啁嘲昀哆明啷哪嗍嘱嘟晌
哆 昀眵移啷哪嗍侈响啕哟啁伊呜唧吻明嘟鸣够多晌
唧 响啕鸣哟啁昀眵哆明啷哪嗍嘟晌
啷 响唧啕鸣哟啁嘲昀眵哆明哪嗍嘱嘟晌
哪 昀眵畅哆啷嗍捅掏响拥啕哟啁呜掷唧挪吻明娜捣那嘟鸣掬揶拘晌
晌 昀眵哆啷仞佝哪嗍响啕哟啁们角向唧彻仰明伺嘟鸣佣
啕 昀胸眵哆脚啷属哪嗍淘掏响朐屑哟啁胴嘱陶鸦唧骨明嘟鸣屙嘲晌
响 昀眵哆啷仞佝哪嗍啕哟啁们呜角向唧彻吻仰明伺嘟鸣佣晌
哟 响唧啕鸣啁昀吻眵哆明啷哪嗍呜嘟晌
啁 响唧啕鸣哟嘲昀眵哆明啷哪嗍嘱嘟晌
笞 箸笤笛答箬
答 箸笤恰拾笛谷哈塔给箬合笞含搭
笛 由箸柚邮笤油答迪抽袖庙箬笞宙
笤 箸笛答箬笞
痴 痼痂痞瘩痦瘤
瘩 痼痂痞痦瘤痴
痼 痂痞瘩痦瘤痴
瘤 痼痞留瘩痦溜榴痴遛
痞 痼痂瘩痦瘤痴
痦 痼痂痞瘩瘤痴
螭 螃
螃 离傍脔帝旁高螭斋庸滂榜磅商席彦镑膀廊谤
池 地沈驰泄壮冼
沈 地洼驰池泄洗壮冼
壮 地沈驰池状泄妆冼
地 沈驰池壮
驰 地沈妈马驮弛骂池施也驼驱吗壮
迟 迢迳闼逄退迩迎辽追迅迥
迩 迢迳闼逄退迎迟追逢逯迅逸通迥
迳 迢闼逄退迩迎迟追逢逯迅逸通迥
迥 迢迳闼逄退迩迎迟追逢逯迅逸通
迢 迳闼逄退迩迎迟追逢逯迅逸通迥
迅 迢迳讽记讯沉迩迎辽迟汛汜迥
迎 退辽迟仞佝迅迢闼逄抑们角向迳彻仰昂伺迥迩佣追
苊 茬荏芫苋花荛茌苑荒茺
花 茬荏芫苊苋荛茌苑荒茺
苋 茬荏芫苊花荛茌苑荒茺
芫 茬荏苊苋花荛茌苑荒茺
持 待捷狭诗挟夺特侍披寺技恃峙等
篪 箢筅簏篼
篼 箢篪筅簏
簏 箢篪筅篼
箢 篪笮笕筅簏篼
彳 彡乡
彡 乡彳
乡 彡彳
叱 吐呓
吐 呓杜肚叱
诉 诞阪婉斥蜒阡碗拆诋
饬 饰
饰 饬
啻 畜音
畜 盲啻音
傺 躲
躲 身射阜傺
瘛 瘃瘾癔瘀瘙痣痕蛮
瘙 峦瘃瘾癔瘀痃疼瘛痣痕奕蛮恋
癔 瘃瘾瘀瘙瘛
瘾 瘃癔隐瘀瘙瘛痣痕急蛮您稳忽怨
瘀 峦瘃瘾癔痃瘙疼瘛痣痕奕蛮恋
瘃 峦瘾癔瘀痃瘙疼瘛痣痕奕蛮恋
冲 沣
沣 冲
庀 庇庑应庄充
综 祟柴踪粜剩宋棕淙宗梨崇剿紫巢
踪 祟柴粜剩宋棕淙宗梨综崇剿紫巢
宠 突究龙茏垄笼庞穷拢
究 突笼庞宠穷拢
笼 究龙茏垄庞宠拢
拢 究龙扰茏垄笼庞宠挖控
铳 镜毓爸瓮钪锥
锥 镜毓铳钪
仇 化
化 仇
俦 涛畴寿踌筹铸祷健
健 毽键俦腱铸建
惆 朋肠周雕凋罔朐绸局悯鸦骨调惘恫碉稠恂
恫 悯惆惘恂
悯 惆恫惘恂
惘 悯惆恫恂
恂 悯惆恫惘
畴 涛寿踌筹俦唛铸祷
唛 畴
酬 配吾酿醉硎辐吞酥酉福百副酒富矿西否
副 窖窨硎辐窘蝠容逼幅酬福窗富害
硎 辐酬福副富
稠 朐鸦惆绸骨局朋调碉肠移周雕凋罔
移 够多伊稠哆侈
筹 涛畴寿踌俦铸祷等
等 待持夺诗特筹侍寺恃峙
踌 涛畴寿踺筹俦铸祷
踺 踌
瞅 唢啖锹湫楸揪啾
啾 唢瞅啖锹湫楸揪
揪 瞅鳅秋愁锹湫楸啾
锹 瞅锁湫楸揪啾锬
楸 瞅锹湫揪啾
湫 瞅锹楸淡揪啾
出 拙屈掘凼咄倔
凼 拙屈掘出咄倔
屈 拙掘凼出咄倔
拙 呃眍屈旺茁掘呒凼呸出哑咄倔呕汪哐咂
倔 拙屈掘凼出咄
掘 拙馅屈陷凼出咄倔掐
咄 拙屈掘凼出倔
初 祠祁闹
闹 柿市祁齐初祠
祁 闹初
厨 腰厦
厦 腰厨
腰 厦厨
滁 漾涂
涂 汆徐斜佘漾滁籴途氽余叙除
漾 滁涂
蹰 踔蹑
蹑 踔蹰
杵 枚
枚 杵
础 酗
酗 础
楮 槠梏葙樯藉桔枯
梏 槠靠葙估诰鹄浩桔楮告皓枯姑
桔 槠洁沽吉诘右梏古葙杏渚楮旮枯姑拮劼估浩结
葙 槠梏樯藉桔楮枯
槠 梏葙樯藉桔楮
储 若堵熹偌昔煮苫赌都借茵苗苜僖猪署躇诸莒绪茗茴暑睹苕者苦苔茜
借 若腊鹊偌昔苫错茵苗储苜惜僖措蜡莒猎茗茴苕者苦苔茜
偌 储僖借
僖 储借熹偌
楚 葵焚梦栋荚葜贳莫樊蒉林婪赵荧荑萸黄禁荬萁
樊 葵焚萁楚蒉萸黄葜
焚 烤葵火暮摹荚慕葜模贳莫幕炎膜樊蒉煤墓赵伙谈荧烧灾楚荑萸黄淡摸荬萁漠寞灭
黄 葵焚暮摹荚慕葜模贳莫幕英膜樊蒉墓赵荧楚荑萸其摸荬萁漠寞
葵 焚暮摹荚慕葜模贳莫幕膜樊蒉墓赵荧楚荑萸黄摸荬萁漠寞
蒉 葵焚暮摹荚慕葜模贳莫幕膜樊墓赵荧楚荑萸黄摸荬萁漠寞
萁 葵焚暮摹荚慕葜模贳莫幕英膜樊蒉墓赵荧楚荑萸黄其摸荬漠寞
葜 葵焚暮摹荚慕模贳莫幕膜樊蒉墓赵荧楚荑萸黄摸荬萁漠寞
萸 葵焚暮摹荚慕葜模贳莫幕英膜樊蒉墓赵荧楚荑黄其摸荬萁漠寞
褚 褡禧
褡 褚禧
禧 褚嬉褡嫱
处 发
发 处
音 肓吝言亩畜啻盲
憷 愤慎
慎 赍憷愤爽填贲真镇
搋 挑撬摧捶
捶 陲挑垂撬锤棰摧睡搋重
摧 崖毙推唯谁雕毵雏维宦搋璀彪能撬催窀雅捶稚难崔
撬 捶搋摧
氚 氖乍氕说悦氘氛脱兑
氘 氖乍氕说悦炸氛作昨脱氚诈兑
兑 氖乍氕说悦氘氛脱氚
氛 氖说悦氘脱氚兑
氖 乍氕说悦炸氘氛作昨脱氚诈兑
穿 戽
戽 穿
传 砖转体
体 转笨砖本传
转 砖体传
砖 转体贴帖洒沾传
遄 逅遁逶遥逝透逃谣瑶适浙摇
遁 逅逶遥逝透逃谣瑶遄适浙摇
逝 逅遁逶遥透逃遄适浙
透 秀遥诱仿遄适乔彷侪逅逃锈绣豸遁逶逝浙
逶 逅遁遥逝透逃谣瑶遄适浙摇
遥 逅插遁逶逝透逃凿谣瑶遄适韬摇
椽 缘掾槌橼橡蠡喙
槌 缘掾椽橼橡蠡喙
橡 偬缘掾槌椽像橼彖很蠡象喙
橼 缘掾槌椽橡蠡喙
喙 缘掾槌椽眼橼哏嗵唿橡蠡
蠡 缘掾槌椽橼鳋螽橡蟹喙
缘 缝掾槌椽蜂橼橡逢烽蠡峰缒喙
舛 仲仗件杖伸使
件 仲仗杖伸舛使
伸 仲神使绅仗史件律聿坤申舛曳扩吏呻审
仗 仲件杖伸舛
仲 仗件杖伸舛使
哳 哕晰嘣喘端湍惴瑞昕揣
揣 晰嘣喘端哳湍惴瑞
端 晰嘣喘哳湍惴瑞揣
瑞 晰嘣喘端哳湍惴揣
串 史窜律事患津聿申曳扩吏
扩 绅史聿申伸曳窜坤驶吏呻使审津律事神患串
吏 绅史聿申伸曳窜坤驶扩呻使审津律事神患串
事 窜患聿串曳扩吏
曳 绅史聿申伸窜坤驶扩吏呻使审津律事神患串
聿 绅史申伸曳窜坤驶扩吏呻使审津律事神患串
患 窜事聿串曳惠扩吏焘
窜 搴事患聿串曳扩吏
钏 创钊刽
刽 钊荟侩烩桧创钏
钊 刽枪创钏
窗 融謇溶窘辐福富熔害宫逼幅副窨客榕蝠蓉窖容
富 融謇溶窘辐福窗熔害宫硎逼幅副窨客榕蝠蓉窖容酬
害 融溶窘辐福窗富熔宫逼幅副宙窨客榕蝠蓉窖容宕
窖 融謇溶窘辐福窗富熔害宫逼幅副窨客榕蝠蓉容
窘 融謇溶辐福窗富熔害宫逼幅窈副窕窨客榕蝠蓉窖容穷穴空
容 融溶窘辐福窗富熔害宫逼幅副宙窨客榕蝠蓉窖宕
窨 窖謇窘辐蝠容逼幅福窗副富害
闯 泖闷闭沟写门阔钩汤冯闲闪钓钧沏邺泻汐
冯 沏汤邺汐沟写闯
沟 泖构匀写洞钩汤冯钓勾钧的沏邺泻汐均约闯洵趵幻灼勺
汤 惕泖扬构杓邦肠杩杨赐抑沟写踢扔钩杼冯钓韧钧抒扪沏邺场泻汐闯
汐 沏汤邺冯泖泻沟钓写闯钧钩
写 沏汤邺冯汐沟闯
邺 沏汤冯泖泻汐沟钓写闯洵钧洞钩
创 钊刽枪钏
怆 忾怍
忾 怆怍
怍 怆忾
炊 呗饮次绞欣砍欠低跤软坎欢吹
饮 呗次欣炊砍欠低软坎欢吹
欢 呗饮次欣炊砍欠低软坎吹
垂 陲锤捶棰睡重
重 陲垂锤捶棰睡
睡 陲呲毗垂锤眺瞪捶噔棰唾眦重
锤 陲垂铫捶棰睡铠重
棰 陲垂锤桃捶栀睡桤重
挑 窕兆眺逃佻桃捶跳搋
桤 桃枇棰栀
桃 窕挑兆眺逃佻枇跳棰栀桤
铫 铠锤
铠 铫锤
春 軎砉
砉 春軎
軎 春砉
纯 纨
纨 纯
唇 晨震辰振辱腼厝厢
厝 腼唇厢
厢 靥想相唇箱湘腼厝
淳 漳渡寝醇敦碎淬醉液谆
淬 漳渡寝淳液
渡 漳寝淬淳液
寝 漳渡监殷假淬侵淳液槛
液 漳渡寝淬淳
鹑 鄣斓
斓 浆鄣桨阑鹑澜粢
鄣 鹑斓
醇 敦碎醉淳谆
碎 醇萃卒淳悴妾瘁辛娈孪醉谆变敦翠粹率享
醉 醇萃卒淳悴妾西配酿瘁辛娈碎百孪酉矿谆变吞酥敦翠粹率酒吾酬享否
谆 醇敦碎醉淳谇
敦 醇效碎醉淳谆
蠢 蠊
蠊 蠢
踔 蹰蹑
戳 戮谬缪谲谰
戮 谬戳缪谲谰
啜 嗖瑕霞瞍遐假缀嘤暇掇眠
眠 嗖泯瞍岷缀啜嘤民暇掇
嗖 瑕霞瞍遐假缀啜嘤暇掇眠
暇 嗖瑕霞瞍遐假缀啜嘤逢逯掇逸遛眠通
缀 嗖鲟缨啜暇掇缎眠
辍 毂
毂 辍
呲 咝毗眺吼唾睡眦吡
毗 庇呲咝蚍眺吼毖砒秕纰枇唾睡妣眦吡
眺 窕呲咝毗兆逃佻桃噔跳挑唾睡眦
唾 呲咝毗眺噔睡眦
眦 呲咝毗眺噔唾睡
词 郎朗诵询诩
郎 朗调诵词询诩粮踉
诩 郎朗调诵词询
询 邰郎朗调殉旬诵词甸诩句
范 荭茫菲莼埴茳菹茈埯
茨 莰
莰 茨
祠 闹初
瓷 阉阄
阄 阉瓷
阉 瓷阄
辞 变辟辣瓣皎宰妄辩避辛交享卒辨妾辫
皎 绞辞郊辛妄胶饺狡效咬姣跤佼交校
慈 兹剪铉煎糍衾铱磁食愈滋
煎 前剪俞养慈斧愈
愈 前剪俞瑜煎输养愉偷慈斧榆喻
鹚 锎锔铘镧铜铆铴锏
锏 锎鹚锔钥铘钢镧铜钧钨铆铴钩
锔 锎鹚钥铘钢镧铜钧钨铆铴锏钩
锎 鹚锔钥铘钢镧铜钧钨铆铴锏钩
镧 锎鹚锔锏
糍 磁慈糕滋
糕 糍
此 柴些纰比紫
纰 庇蚍柴此毗毖砒些秕枇妣比紫
些 柴此纰比紫
比 柴此些纰紫
 氕匹唤用铱食邴比通要兵谓昨夭奄毫原央妪殴诈柴铡责袄少纱佣鸥吵乍奏奂殃沃映奁呕桶猬沙帚英侧纰麽伐此杈赉欧磁溃抠源廉巨妙权甬些耍则掩夹俑作滋拥怄炒妖跃枢陈调愿区衾涣讴夏岖豪痛换遗秧紫阵谔兹炸雕凋捅又淹躯诵慈抄伛氖俺朗氘夷泱代焕测铉碉沤驱贵涌谒
刺 剌
剌 刺
匆 勿葱仍务忽
务 匆
囱 旧囟白自
葱 暮煮慕蒸葸燕幕蕊懋蕙匆仍墓惹勿蕉薏薰忽恭蒽
蒽 燕薰幕蕊恭葱懋蕙蕉慕暮煮墓蒸惹葸薏
恭 葱慕煮蒽蒸惹葸
慕 蒈蓍葵蓦焚暮摹荚煮蒸葸葜燕贳幕模蕊莫懋蕙膜蒉墓惹赵荧蓄蔷蕉荑萸黄薏蕾薰蓉恭葱蕃摸荬萁漠寞蒽薯瞢
惹 燕薰幕蕊恭葱懋蕙蕉慕暮煮蒽墓蒸葸薏
葸 燕薰幕蕊恭葱懋蕙蕉慕暮煮蒽墓蒸惹薏
蒸 燕薰幕蕊恭葱懋蕙蕉慕暮煮蒽墓惹葸薏
煮 若堵暮昔慕蒸葸苫燕幕蕊赌懋蕙都茵苗墓惹苜储猪署蕉躇诸莒薏绪薰茗茴恭暑葱睹苕者苦苔茜蒽
琮 球
球 琮
凑 贵奏赉渍责浃挨泱溃
浃 渍凑泱溃
溃 贵奏赉渍责凑浃遗篑匮愦聩馈
渍 凑浃泱溃
辏 鞅
鞅 辏
腠 腆胰
腆 腠胰
租 径咀徂粗粑组祖沮诅佩狙俎阻龃趄
祖 租粗粑组袍寇阅砚祀阻现视阋冠
组 绝经径租宜粑祖谊且纪皿泾纽劲咀粗圣阻衄茎
阻 甩尻胞肥屋尼租宜粑飑祖兕谊且皿屁陉夙胫咀粗组圣屉尾肌
徂 径咀租沮诅狙佩俎龃趄泾经
径 徂沮狙绝龃趄经租泾纽诅劲咀组佩俎颈茎
佩 径咀租徂沮诅狙俎龃趄泾经
狙 径咀租徂帆狃沮诅佩俎狍龃趄
诅 径咀租徂记讽诡沮讯狙佩俎龃趄
俎 径咀租徂沮诅狙佩龃趄
殂 弪
弪 殂
促 捉俣
俣 促捉
捉 损促俣题堤提
猝 狡
狡 绞猝郊辛饺妄胶皎效咬姣跤佼交校
蔟 蓰蕨蓣
蕨 蓰蔟蓣
蓰 蔟蕨蓣
蓣 蓰蔟蕨
醋 酤酷
酷 酤醋
簇 篌
篌 簇
汆 徐斜佘涂籴途氽余叙除
佘 汆徐斜涂籴途氽余叙除
氽 汆徐斜佘涂籴途余叙除
余 汆徐斜佘涂籴途氽叙除
搴 骞褰窜赛蹇
榱 樵
樵 熏瞧礁蕉榱憔焦悉
飓 贸凰胫飑隆惧其贯胞臾俱飕真具兜脆屋
啐 咬唼
唼 咬啐
咬 绞唼郊辛饺妄胶皎狡效姣跤佼交校啐
痔 瘁瘕瘿瘴瘘瘢瘦痿疫疲
存 皮跛波破披彼玻菠被疲皱坡
皮 存跛波破披彼玻菠被疲皱坡
搓 挫险捡脸拴揽
挫 拦拖搓险座坐捡脸拴揽竺
捡 挫坌俭验拦拖搓检险金企脸拴全揽签佥
揽 挫搓险捡脸拴
磋 砼硷蹉酢碰砟
硷 磋砼蹉酢碰砟
碰 磋砼硷蹉酢砟
酢 磋砼硷蹉碰砟
蹉 磋硷酢碰
嵯 氆馐
馐 氆嵯
险 坌俭脸拴揽脞胙企佥隘验搓金捡全挫检签脱
胙 险脸脞脱隘
拴 拖脸烂揽扛扯险抢搓捡拒扼抡栓抠挫栏拦芜抚
措 若腊鹊昔苫错借茵苗搭苜惜蜡莒猎茗茴描拮苕者苦苔茜
搭 描措恰拾谷拮哈答堵塔给落墙合含
拮 描措诘劼桔枯搭
描 若猫昔苫茵苗搭苜措莒茗茴拮瞄苕者苦苔茜
错 若腊鹊昔苫钴借茵苗锚苜惜措蜡锆莒锗锘猎茗茴苕者苦苔茜
锆 锚错钴锗锘
锚 错钴锆锗锘
锘 锚错钴锆锗
锗 锚错钴锆锘
耷 孛幸李
嗒 睹瞄咭喏嗜嘻喵
睹 若堵嗒咭昔煮嘻苫落赌都茵苗喵苜储猪著署塔躇诸莒绪茗茴暑瞄苕者喏苦茜苔嗜
喵 睹瞄嗒咭喏咕嗜嘻
瞄 若嗒咭猫昔嘻苫茵苗喵苜莒茗茴描睹苕者喏苦茜苔嗜
喏 睹瞄嗒咭咕嗜嘻喵
嗜 睹瞄嗒咭喏嘻喵
连 达过莲辽边链疗
笪 笙笠筮箜篁篮签筌
笠 笙泣粒垃拉筮笪箜立篁篮站签筌主疒
签 坌俭箜脸筮险簋企篮筌佥验笠金捡篁全笙簦鳘检笪
筌 笙笠筮笪簋箜篁篮签
笙 笠筮笪箜篁篮签筌
筮 笙簦鳘笠笪簋箜篁篮签筌
箬 箸笤笛答笞
箸 笤笛答箬笞
靼 辊
辊 靼
鞑 辕
辕 鞑
呆 棵果稞夥罘杲困颗课
杲 棵果稞夥罘困颗累课呆
果 棵稞夥罘杲困颗累课呆
困 咽员课因只囚棵烟胭吴果夥罘颗足呆稞杲
逮 速遣剥绿匮柔馈遗录碌遭遘
